code	occupation	gender	conversations	birth-region	age-range	study-level
BO002	0-Students	F	BOA3001	toscana	21-25	university-degree-ongoing
BO003	0-Students	F	BOA3001	emilia-romagna	21-25	university-degree-ongoing
BO005	0-Students	F	BOA1025	estero	21-25	university-degree-ongoing
BO007	0-Students	F	BOA3002	toscana	21-25	university-degree-ongoing
BO008	0-Students	M	BOA3002	puglia	21-25	university-degree-ongoing
BO009	0-Students	F	BOA3002	emilia-romagna	21-25	university-degree-ongoing
BO010	0-Students	F	BOA3002	emilia-romagna	21-25	university-degree-ongoing
BO013	2-Professionals	M	BOD1001	emilia-romagna	51-55	phd
BO014	0-Students	F	BOD2001	emilia-romagna	21-25	university-degree-ongoing
BO016	0-Students	F	BOA3003	emilia-romagna	21-25	university-degree-ongoing
BO017	0-Students	F	BOA3003	emilia-romagna	21-25	university-degree-ongoing
BO018	0-Students	F	BOA3003	toscana	21-25	university-degree-ongoing
BO019	0-Students	F	BOA3003	lombardia	21-25	university-degree-ongoing
BO020	0-Students	F	BOA1001	campania	21-25	university-degree-ongoing
BO021	0-Students	F	BOA3004;BOA3006;BOD2005;BOA3007	campania	21-25	university-degree-ongoing
BO026	2-Professionals	F	BOA1001;BOA1002;BOA1003;BOA1004;BOA1005;BOA1006;BOA1007;BOA1008;BOA1009;BOA1010;BOA1011;BOA1012;BOA1013;BOA1014;BOA1015	basilicata	56-60	phd
BO027	0-Students	F	BOA1004	marche	26-30	university-degree-ongoing
BO028	0-Students	F	BOA1002	molise	21-25	university-degree-ongoing
BO029	0-Students	F	BOA1002	sicilia	21-25	university-degree-ongoing
BO030	0-Students	F	BOA1002	sicilia	21-25	university-degree-ongoing
BO031	0-Students	F	BOA1002	sicilia	21-25	university-degree-ongoing
BO032	0-Students	F	BOA1002;BOA1003	emilia-romagna	21-25	university-degree-ongoing
BO033	0-Students	F	BOA1005	lazio	21-25	university-degree-ongoing
BO034	0-Students	F	BOA1006	veneto	21-25	university-degree-ongoing
BO035	0-Students	F	BOA1007	emilia-romagna	21-25	university-degree-ongoing
BO036	0-Students	M	BOA1008	calabria	26-30	university-degree-ongoing
BO037	0-Students	F	BOA1009	trentino-alto-adige	21-25	university-degree-ongoing
BO038	0-Students	F	BOA1010	campania	21-25	university-degree-ongoing
BO039	0-Students	F	BOA1010	marche	21-25	university-degree-ongoing
BO040	0-Students	F	BOA1011	basilicata	21-25	university-degree-ongoing
BO041	0-Students	F	BOA1011	puglia	26-30	university-degree-ongoing
BO042	0-Students	F	BOA1012	veneto	21-25	university-degree-ongoing
BO043	0-Students	F	BOA1013	abruzzo	21-25	university-degree-ongoing
BO044	0-Students	F	BOA1014	sicilia	26-30	university-degree-ongoing
BO045	0-Students	F	BOA1015	sardegna	26-30	university-degree-ongoing
BO046	0-Students	F	BOA3004	trentino-alto-adige	21-25	university-degree-ongoing
BO047	0-Students	M	BOA3004	puglia	21-25	university-degree-ongoing
BO048	0-Students	F	BOA3004;BOA3006;BOA3007	piemonte	21-25	university-degree-ongoing
BO049	0-Students	F	BOD2006;BOD2007;BOD2008;BOD2010;BOD2011	emilia-romagna	21-25	university-degree-ongoing
