token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP030	0	°(okay	okay	linguistic	Volume=Low	Begin=2.34	_	_	0-4(0)	_
0-1	PKP030	0	va)°	va	linguistic	Volume=Low	End=3.23	_	_	0-2(0)	_
1-0	PKP144	1	xxx	x	unknown	_	Begin=3.97|End=5.52	_	_	_	_
2-0	PKP144	2	#come	come	linguistic	_	Begin=7.34	_	_	_	_
2-1	PKP144	2	ea	ea	linguistic	_	_	_	_	_	_
2-2	PKP144	2	altra	altra	linguistic	_	_	_	_	_	_
2-3	PKP144	2	borsa	borsa	linguistic	_	_	_	_	_	_
2-4	PKP144	2	sta	sta	linguistic	_	_	_	_	_	_
2-5	PKP144	2	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
2-6	PKP144	2	in	in	linguistic	_	_	_	_	_	_
2-7	PKP144	2	pìe,	pìe	linguistic	Intonation=weakly_rising	End=10.09	_	_	_	_
3-0	PKP009	3	mhmh	mhmh	linguistic	_	Begin=10.1|End=10.62	_	_	_	_
4-0	PKP144	4	#ea	ea	linguistic	_	Begin=11.14	_	_	_	_
4-1	PKP144	4	borsa	borsa	linguistic	_	_	_	_	_	_
4-2	PKP144	4	del	del	linguistic	_	_	_	_	_	_
4-3	PKP144	4	gel~	gel~	linguistic	Interrupted=Yes	_	_	_	_	_
4-4	PKP144	4	da	da	linguistic	_	_	_	_	_	_
4-5	PKP144	4	da	da	linguistic	_	_	_	_	_	_
4-6	PKP144	4	freddo	freddo	linguistic	_	End=13.51	_	_	_	_
5-0	PKP009	5	#°ben°	ben	linguistic	Volume=Low	Begin=15.98	_	_	_	_
5-1	PKP009	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-2	PKP009	5	per	per	linguistic	_	_	_	_	_	_
5-3	PKP009	5	fort[una:]	fortuna	linguistic	_	_	6x1	_	_	4-7(0)
5-4	PKP009	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-5	PKP009	5	i	i	linguistic	_	_	_	_	_	_
5-6	PKP009	5	o	o	linguistic	_	_	_	_	_	_
5-7	PKP009	5	ga	ga	linguistic	_	_	_	_	_	_
5-8	PKP009	5	messo	messo	linguistic	_	_	_	_	_	_
5-9	PKP009	5	via	via	linguistic	_	End=19.75	_	_	_	_
6-0	PKP144	6	#[go]	go	linguistic	_	Begin=17.34	_	_	_	1-3(0)
6-1	PKP144	6	dovesto	dovesto	linguistic	_	_	_	_	_	_
6-2	PKP144	6	appoggiarla	appoggiarla	linguistic	_	End=18.57	_	_	_	_
7-0	PKP030	7	((°ride°))	((ride))	nonverbalbehavior	Volume=Low	Begin=21.31|End=22.0	_	_	_	_
8-0	PKP030	8	vabbè	vabbè	linguistic	_	Begin=23.67	_	_	_	_
8-1	PKP030	8	dai	dai	linguistic	_	_	_	_	_	_
8-2	PKP030	8	può	può	linguistic	_	_	_	_	_	_
8-3	PKP030	8	succedere	succedere	linguistic	_	End=25.85	_	_	_	_
9-0	PKP009	9	>per	per	linguistic	_	Begin=26.573	_	Fast=0-3	_	_
