token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP096	0	pino	pino	linguistic	_	Begin=0.26	_	_	_	_
0-1	PKP096	0	ma	ma	linguistic	_	_	_	_	_	_
0-2	PKP096	0	ti	ti	linguistic	_	_	_	_	_	_
0-3	PKP096	0	pesa	pesa	linguistic	_	_	_	_	_	_
0-4	PKP096	0	tanto	tanto	linguistic	_	_	_	_	_	_
0-5	PKP096	0	chiedere	chiedere	linguistic	_	_	_	_	_	_
0-6	PKP096	0	al	al	linguistic	_	_	_	_	_	_
0-7	PKP096	0	macellaio	macellaio	linguistic	_	_	_	_	_	_
0-8	PKP096	0	di	di	linguistic	_	_	_	_	_	_
0-9	PKP096	0	fare	fare	linguistic	_	_	_	_	_	_
0-10	PKP096	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-11	PKP096	0	ste	ste	linguistic	_	_	_	_	_	_
0-12	PKP096	0	fettine	fettine	linguistic	_	_	_	_	_	_
0-13	PKP096	0	un	un	linguistic	_	_	_	_	_	_
0-14	PKP096	0	po'	po'	linguistic	_	_	_	_	_	_
0-15	PKP096	0	più	più	linguistic	_	_	_	_	_	_
0-16	PKP096	0	sottili,	sottili	linguistic	Intonation=weakly_rising	End=5.259	_	_	_	_
1-0	PKP097	1	>SI<	si	linguistic	Volume=High	Begin=5.259|End=6.073	_	Fast=0-2	_	_
2-0	PKP096	2	a::::::::h	ah	linguistic	_	Begin=6.073|End=6.724	0x8	_	_	_
3-0	PKP095	3	>allor<	allor	linguistic	_	Begin=7.0	_	Fast=0-5	_	_
3-1	PKP095	3	ade(sso)	adesso	linguistic	_	_	_	_	3-6(0)	_
3-2	PKP095	3	i~	i~	linguistic	Interrupted=Yes	_	_	_	_	_
3-3	PKP095	3	>quand<	quand	linguistic	_	_	_	Fast=0-5	_	_
3-4	PKP095	3	io	io	linguistic	_	_	_	_	_	_
3-5	PKP095	3	>qua<	qua	linguistic	_	_	_	Fast=0-3	_	_
3-6	PKP095	3	telefono,	telefono	linguistic	Intonation=weakly_rising	End=9.224	_	_	_	_
4-0	PKP096	4	m::::::::::h	mh	linguistic	_	Begin=9.229|End=10.318	0x10	_	_	_
5-0	PKP095	5	e	e	linguistic	_	Begin=10.328	_	_	_	_
5-1	PKP095	5	dico	dico	linguistic	_	_	_	_	_	_
5-2	PKP095	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-3	PKP095	5	telegraficamente	telegraficamente	linguistic	_	_	_	_	_	_
5-4	PKP095	5	preparami	preparami	linguistic	_	_	_	_	_	_
5-5	PKP095	5	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
5-6	PKP095	5	le	le	linguistic	_	_	_	_	_	_
5-7	PKP095	5	le	le	linguistic	_	_	_	_	_	_
5-8	PKP095	5	le~	le~	linguistic	Interrupted=Yes	_	_	_	_	_
