token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR030	0	dunque	dunque	linguistic	_	Begin=0.32	_	_	_	_
0-1	BOR030	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-2	BOR030	0	io	io	linguistic	_	_	_	_	_	_
0-3	BOR030	0	comincerei	comincerei	linguistic	_	_	_	_	_	_
0-4	BOR030	0	chiedendoti	chiedendoti	linguistic	_	_	_	_	_	_
0-5	BOR030	0	in	in	linguistic	_	_	_	_	_	_
0-6	BOR030	0	che	che	linguistic	_	_	_	_	_	_
0-7	BOR030	0	zona	zona	linguistic	_	_	_	_	_	_
0-8	BOR030	0	di	di	linguistic	_	_	_	_	_	_
0-9	BOR030	0	bologna	bologna	linguistic	_	_	_	_	_	_
0-10	BOR030	0	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
0-11	BOR030	0	vivi	vivi	linguistic	_	End=4.553	_	_	_	_
1-0	BOI092	1	((schiocca_la_lingua))	((schiocca_la_lingua))	nonverbalbehavior	_	Begin=4.798	_	_	_	_
1-1	BOI092	1	vivo	vivo	linguistic	_	_	_	_	_	_
1-2	BOI092	1	a	a	linguistic	_	_	_	_	_	_
1-3	BOI092	1	sala	sala	linguistic	_	_	_	_	_	_
1-4	BOI092	1	bolognese	bolognese	linguistic	_	End=7.468	_	_	_	_
2-0	BOI092	2	nella	nella	linguistic	_	Begin=7.54	_	_	_	_
2-1	BOI092	2	zona	zona	linguistic	_	_	_	_	_	_
2-2	BOI092	2	adesso	adesso	linguistic	_	_	_	_	_	_
2-3	BOI092	2	non	non	linguistic	_	_	_	_	_	_
2-4	BOI092	2	so	so	linguistic	_	_	_	_	_	_
2-5	BOI092	2	se	se	linguistic	_	_	_	_	_	_
2-6	BOI092	2	est	est	linguistic	_	_	_	_	_	_
2-7	BOI092	2	ovest	ovest	linguistic	_	_	_	_	_	_
2-8	BOI092	2	bo:h	boh	linguistic	_	_	1x1	_	_	_
2-9	BOI092	2	((ride))	((ride))	nonverbalbehavior	_	End=12.317	_	_	_	_
3-0	BOI092	3	e:	e	linguistic	_	Begin=12.368	0x1	_	_	_
3-1	BOI092	3	vicino	vicino	linguistic	_	_	_	_	_	_
3-2	BOI092	3	all'	all'	linguistic	SpaceAfter=No	_	_	_	_	_
3-3	BOI092	3	aereoporto	aereoporto	linguistic	_	_	_	_	_	_
